lead_id,event_time,event_type
L0310,2024/6/10 17:12,chat_open
L0310,2024/6/10 17:07,demo_watch
L0790,2024/4/2 1:45,whitepaper_download
L0790,2024/4/2 1:40,whitepaper_download
L0905,2024/4/20 20:43,pricing_click
L0905,2024/4/20 20:49,form_submit
L0905,2024/4/20 20:53,whitepaper_download
L0905,2024/4/20 20:32,page_view
L0932,2024/4/26 9:52,demo_watch
L0932,2024/4/26 10:12,whitepaper_download
L0932,2024/4/26 9:58,chat_open
L0932,2024/4/26 9:49,form_submit
L0438,2024/5/29 20:35,chat_open
L0438,2024/5/29 20:24,chat_open
L0438,2024/5/29 20:17,form_submit
L0438,2024/5/29 20:30,page_view
L0438,2024/5/29 20:30,chat_open
L0344,2024/3/7 15:18,whitepaper_download
L0344,2024/3/7 15:14,pricing_click
L0344,2024/3/7 15:13,form_submit
L0013,2024/6/24 8:47,pricing_click
L0013,2024/6/24 8:52,form_submit
L0013,2024/6/24 8:40,page_view
L0013,2024/6/24 8:34,page_view
L0013,2024/6/24 8:44,pricing_click
L0761,2024/3/4 16:47,form_submit
L0761,2024/3/4 16:53,pricing_click
L0795,2024/6/15 9:52,whitepaper_download
L0795,2024/6/15 10:00,whitepaper_download
L0795,2024/6/15 10:14,demo_watch
L0795,2024/6/15 9:47,pricing_click
L0795,2024/6/15 10:06,page_view
L0986,2024/6/12 8:10,pricing_click
L0986,2024/6/12 8:08,pricing_click
L0986,2024/6/12 8:20,pricing_click
L0986,2024/6/12 8:00,pricing_click
L0986,2024/6/12 8:20,chat_open
L0428,2024/6/5 3:51,pricing_click
L0428,2024/6/5 3:48,chat_open
L0428,2024/6/5 3:59,whitepaper_download
L0867,2024/6/4 23:09,demo_watch
L0867,2024/6/4 23:00,chat_open
L0867,2024/6/4 23:08,page_view
L0012,2024/4/27 8:07,chat_open
L0012,2024/4/27 8:23,chat_open
L0012,2024/4/27 8:21,pricing_click
L0012,2024/4/27 8:04,demo_watch
L0012,2024/4/27 8:14,pricing_click
L0654,2024/5/12 3:44,chat_open
L0654,2024/5/12 3:56,demo_watch
L0654,2024/5/12 3:58,page_view
L0174,2024/4/11 23:54,demo_watch
L0174,2024/4/11 23:55,whitepaper_download
L0747,2024/4/10 23:11,form_submit
L0747,2024/4/10 23:17,page_view
L0747,2024/4/10 23:21,whitepaper_download
L0747,2024/4/10 22:56,whitepaper_download
L0747,2024/4/10 23:16,page_view
L0389,2024/5/30 8:08,pricing_click
L0389,2024/5/30 8:06,whitepaper_download
L0389,2024/5/30 7:53,pricing_click
L0389,2024/5/30 7:49,demo_watch
L0667,2024/4/1 17:09,demo_watch
L0667,2024/4/1 17:00,page_view
L0667,2024/4/1 17:01,form_submit
L0965,2024/4/4 16:03,page_view
L0965,2024/4/4 16:10,page_view
L0965,2024/4/4 16:00,form_submit
L0347,2024/4/14 4:25,chat_open
L0347,2024/4/14 4:19,form_submit
L0142,2024/5/20 7:28,whitepaper_download
L0243,2024/5/23 12:46,pricing_click
L0789,2024/6/20 14:35,whitepaper_download
L0789,2024/6/20 14:52,whitepaper_download
L0789,2024/6/20 15:00,form_submit
L0860,2024/3/31 21:06,demo_watch
L0860,2024/3/31 21:05,chat_open
L0860,2024/3/31 21:10,pricing_click
L0860,2024/3/31 21:27,page_view
L0531,2024/3/15 5:05,pricing_click
L0531,2024/3/15 5:21,pricing_click
L0531,2024/3/15 5:06,chat_open
L0940,2024/5/16 2:57,demo_watch
L0940,2024/5/16 2:54,pricing_click
L0940,2024/5/16 2:57,page_view
L0940,2024/5/16 3:13,whitepaper_download
L0695,2024/4/12 8:29,whitepaper_download
L0695,2024/4/12 8:18,chat_open
L0695,2024/4/12 8:21,pricing_click
L0855,2024/6/22 11:13,chat_open
L0855,2024/6/22 11:03,form_submit
L0797,2024/6/9 1:22,demo_watch
L0797,2024/6/9 1:25,whitepaper_download
L0774,2024/4/24 8:53,pricing_click
L0774,2024/4/24 8:54,pricing_click
L0774,2024/4/24 8:32,form_submit
L0774,2024/4/24 8:46,demo_watch
L0774,2024/4/24 8:45,form_submit
L0534,2024/5/13 21:41,page_view
L0534,2024/5/13 21:20,demo_watch
L0315,2024/3/4 3:00,whitepaper_download
L0315,2024/3/4 3:08,form_submit
L0315,2024/3/4 3:00,pricing_click
L0315,2024/3/4 3:22,pricing_click
L0333,2024/3/11 23:12,chat_open
L0333,2024/3/11 22:51,page_view
L0333,2024/3/11 23:11,chat_open
L0131,2024/5/31 7:42,demo_watch
L0131,2024/5/31 7:44,whitepaper_download
L0131,2024/5/31 7:57,form_submit
L0144,2024/4/6 12:27,whitepaper_download
L0144,2024/4/6 12:36,whitepaper_download
L0144,2024/4/6 12:50,chat_open
L0946,2024/6/30 18:46,demo_watch
L0946,2024/6/30 18:48,whitepaper_download
L0946,2024/6/30 18:54,demo_watch
L0946,2024/6/30 18:42,chat_open
L0275,2024/5/31 0:14,whitepaper_download
L0275,2024/5/31 0:09,pricing_click
L0275,2024/5/31 0:12,page_view
L0275,2024/5/31 0:27,form_submit
L0414,2024/5/25 13:31,pricing_click
L0569,2024/3/14 12:09,pricing_click
L0765,2024/3/17 0:11,demo_watch
L0233,2024/3/10 1:26,pricing_click
L0233,2024/3/10 1:20,page_view
L0233,2024/3/10 1:13,chat_open
L0233,2024/3/10 1:00,demo_watch
L0742,2024/5/13 22:39,demo_watch
L0742,2024/5/13 22:40,page_view
L0742,2024/5/13 22:41,page_view
L0548,2024/4/7 18:36,demo_watch
L0659,2024/4/2 11:01,form_submit
L0659,2024/4/2 11:08,form_submit
L0659,2024/4/2 11:01,chat_open
L0659,2024/4/2 10:42,form_submit
L0659,2024/4/2 11:07,form_submit
L0958,2024/5/27 3:25,pricing_click
L0958,2024/5/27 3:31,page_view
L0958,2024/5/27 3:15,form_submit
L0958,2024/5/27 3:28,pricing_click
L0458,2024/5/5 17:34,chat_open
L0458,2024/5/5 17:48,whitepaper_download
L0815,2024/6/20 13:34,form_submit
L0815,2024/6/20 13:32,pricing_click
L0815,2024/6/20 13:37,pricing_click
L0815,2024/6/20 13:37,chat_open
L0998,2024/5/23 6:00,whitepaper_download
L0998,2024/5/23 6:21,whitepaper_download
L0296,2024/3/19 14:25,form_submit
L0296,2024/3/19 14:18,whitepaper_download
