lead_id,first_touch_time,channel,industry,company_size,jobtitle_level,email_domain,pyhone_contry_code,form_length,utm_source,utm_campaign
L0001,2024/4/25 19:10,REFERRAL,SaaS,51-200,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0002,2024/5/21 3:49,ADS,Manufacturing,0-50,VP+,163.com,163.com,163.com,163.com,163.com
L0003,2024/6/5 4:47,WEBINAR,Manufacturing,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0004,2024/5/14 11:54,ADS,Manufacturing,51-200,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0005,2024/3/18 19:56,WEBINAR,E-commerce,1000+,Manager,163.com,163.com,163.com,163.com,163.com
L0006,2024/3/28 20:43,WEBINAR,Manufacturing,201-1000,VP+,163.com,163.com,163.com,163.com,163.com
L0007,2024/3/11 3:45,ADS,Healthcare,51-200,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0008,2024/5/6 12:56,SEO,FinTech,201-1000,Manager,company.com,company.com,company.com,company.com,company.com
L0009,2024/3/27 19:30,ADS,Healthcare,1000+,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0010,2024/6/9 14:09,ADS,Manufacturing,201-1000,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0011,2024/5/6 19:55,SEO,Manufacturing,1000+,Director,163.com,163.com,163.com,163.com,163.com
L0012,2024/4/27 8:02,REFERRAL,Manufacturing,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0013,2024/6/24 8:23,PARTNER,Healthcare,0-50,VP+,company.com,company.com,company.com,company.com,company.com
L0014,2024/6/22 0:55,ADS,E-commerce,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0015,2024/4/29 14:20,ADS,Healthcare,1000+,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0016,2024/5/1 13:09,REFERRAL,E-commerce,51-200,VP+,qq.com,qq.com,qq.com,qq.com,qq.com
L0017,2024/6/19 1:05,SEO,E-commerce,0-50,VP+,company.com,company.com,company.com,company.com,company.com
L0018,2024/5/22 11:40,REFERRAL,Healthcare,1000+,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0019,2024/4/12 22:08,SEO,E-commerce,0-50,Manager,company.com,company.com,company.com,company.com,company.com
L0020,2024/4/14 12:11,ADS,SaaS,1000+,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0021,2024/3/7 23:57,WEBINAR,Manufacturing,1000+,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0022,2024/3/20 18:22,SEO,E-commerce,0-50,Individual,company.com,company.com,company.com,company.com,company.com
L0023,2024/6/14 5:11,REFERRAL,SaaS,0-50,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0024,2024/6/20 8:30,SEO,E-commerce,201-1000,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0025,2024/4/11 0:39,PARTNER,SaaS,51-200,Manager,163.com,163.com,163.com,163.com,163.com
L0026,2024/3/26 16:36,SEO,E-commerce,51-200,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0027,2024/5/20 13:43,REFERRAL,FinTech,0-50,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0028,2024/3/16 11:15,ADS,SaaS,201-1000,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0029,2024/4/14 13:12,ADS,E-commerce,51-200,Individual,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0030,2024/5/14 0:29,REFERRAL,Manufacturing,51-200,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0031,2024/4/14 21:36,SEO,Manufacturing,1000+,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0032,2024/3/25 18:07,WEBINAR,Healthcare,201-1000,Individual,qq.com,qq.com,qq.com,qq.com,qq.com
L0033,2024/6/26 8:44,ADS,Healthcare,51-200,Individual,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0034,2024/4/16 13:53,PARTNER,Healthcare,51-200,Individual,company.com,company.com,company.com,company.com,company.com
L0035,2024/4/29 7:37,REFERRAL,E-commerce,51-200,Manager,163.com,163.com,163.com,163.com,163.com
L0036,2024/3/12 11:30,SEO,SaaS,0-50,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0037,2024/4/20 6:13,WEBINAR,SaaS,201-1000,Director,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0038,2024/4/14 6:47,PARTNER,FinTech,0-50,VP+,163.com,163.com,163.com,163.com,163.com
L0039,2024/3/24 1:04,WEBINAR,E-commerce,0-50,Director,company.com,company.com,company.com,company.com,company.com
L0040,2024/5/7 16:55,PARTNER,Healthcare,0-50,VP+,company.com,company.com,company.com,company.com,company.com
L0041,2024/5/14 23:55,SEO,FinTech,1000+,Manager,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0042,2024/6/15 13:03,SEO,SaaS,51-200,VP+,163.com,163.com,163.com,163.com,163.com
L0043,2024/3/29 13:34,REFERRAL,FinTech,201-1000,VP+,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0044,2024/4/25 22:11,SEO,Healthcare,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0045,2024/3/11 0:29,PARTNER,Healthcare,201-1000,Director,163.com,163.com,163.com,163.com,163.com
L0046,2024/6/4 16:02,SEO,FinTech,51-200,Director,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0047,2024/5/3 1:11,SEO,Healthcare,51-200,VP+,company.com,company.com,company.com,company.com,company.com
L0048,2024/3/19 8:00,WEBINAR,SaaS,51-200,Individual,163.com,163.com,163.com,163.com,163.com
L0049,2024/6/10 14:20,REFERRAL,SaaS,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0050,2024/3/30 1:30,REFERRAL,Healthcare,1000+,Manager,company.com,company.com,company.com,company.com,company.com
L0051,2024/4/1 10:29,PARTNER,SaaS,51-200,VP+,163.com,163.com,163.com,163.com,163.com
L0052,2024/6/18 7:24,WEBINAR,SaaS,51-200,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0053,2024/3/15 0:14,PARTNER,Healthcare,0-50,Manager,163.com,163.com,163.com,163.com,163.com
L0054,2024/6/19 20:24,PARTNER,FinTech,51-200,Manager,qq.com,qq.com,qq.com,qq.com,qq.com
L0055,2024/5/21 9:30,PARTNER,SaaS,201-1000,Manager,gmail.com,gmail.com,gmail.com,gmail.com,gmail.com
L0056,2024/5/22 17:11,WEBINAR,E-commerce,0-50,Director,qq.com,qq.com,qq.com,qq.com,qq.com
L0057,2024/5/12 6:18,ADS,SaaS,1000+,VP+,163.com,163.com,163.com,163.com,163.com
L0058,2024/3/20 6:30,WEBINAR,Manufacturing,51-200,VP+,outlook.com,outlook.com,outlook.com,outlook.com,outlook.com
L0059,2024/5/11 17:43,WEBINAR,E-commerce,51-200,Manager,company.com,company.com,company.com,company.com,company.com
